
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    127.0.0.1:9999         127.0.0.1:61557        TIME_WAIT       0
  TCP    127.0.0.1:9999         127.0.0.1:61746        TIME_WAIT       0
  TCP    127.0.0.1:9999         127.0.0.1:61747        TIME_WAIT       0
  TCP    127.0.0.1:9999         127.0.0.1:61775        TIME_WAIT       0
  TCP    127.0.0.1:10009        0.0.0.0:0              LISTENING       68988
  TCP    127.0.0.1:10009        127.0.0.1:61848        TIME_WAIT       0
  TCP    127.0.0.1:10009        127.0.0.1:61856        TIME_WAIT       0
  TCP    127.0.0.1:10019        0.0.0.0:0              LISTENING       51800
  TCP    127.0.0.1:10019        127.0.0.1:61904        TIME_WAIT       0
  TCP    127.0.0.1:10019        127.0.0.1:61912        TIME_WAIT       0
  TCP    127.0.0.1:10029        0.0.0.0:0              LISTENING       67500
  TCP    127.0.0.1:10029        127.0.0.1:61575        TIME_WAIT       0
  TCP    127.0.0.1:10039        0.0.0.0:0              LISTENING       64548
  TCP    127.0.0.1:11808        0.0.0.0:0              LISTENING       10020
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING       62500
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       3112
  TCP    127.0.0.1:61549        127.0.0.1:2881         ESTABLISHED     69760
  TCP    127.0.0.1:61553        127.0.0.1:2881         ESTABLISHED     69760
  TCP    127.0.0.1:61556        127.0.0.1:2871         ESTABLISHED     45492
  TCP    127.0.0.1:61560        127.0.0.1:2881         TIME_WAIT       0
  TCP    127.0.0.1:61561        127.0.0.1:2884         ESTABLISHED     69760
  TCP    127.0.0.1:61572        127.0.0.1:2884         ESTABLISHED     69760
  TCP    127.0.0.1:61584        127.0.0.1:2885         ESTABLISHED     69760
  TCP    127.0.0.1:61608        127.0.0.1:2882         ESTABLISHED     69760
  TCP    127.0.0.1:61609        127.0.0.1:2883         ESTABLISHED     69760
  TCP    127.0.0.1:61612        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:61624        127.0.0.1:2884         ESTABLISHED     69760
  TCP    127.0.0.1:61627        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:61633        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:61740        127.0.0.1:61741        ESTABLISHED     51780
  TCP    127.0.0.1:61741        127.0.0.1:61740        ESTABLISHED     51780
  TCP    127.0.0.1:61743        127.0.0.1:2881         ESTABLISHED     69760
  TCP    127.0.0.1:61744        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:61753        127.0.0.1:2881         TIME_WAIT       0
  TCP    127.0.0.1:61770        127.0.0.1:61771        TIME_WAIT       0
  TCP    127.0.0.1:61772        127.0.0.1:5556         ESTABLISHED     51780
